title,price,rating,num_reviews
Raspberry SC15184 Pi 4 Model B 2019 Quad Core 64 Bit WiFi Bluetooth (2GB),$51.58,4.7 out of 5 stars,"18,129 ratings"
Raspberry SC15184 Pi 4 Model B 2019 Quad Core 64 Bit WiFi Bluetooth (2GB),$51.58,4.7 out of 5 stars,"18,129 ratings"
"Raspberry Pi Zero 2 W (with Quad-core CPU,Bluetooth 4.2,BLE,onboard Antenna,etc.)",$20.79,4.6 out of 5 stars,152 ratings
"Raspberry Pi Zero 2 W (with Quad-core CPU,Bluetooth 4.2,BLE,onboard Antenna,etc.)",$20.79,4.6 out of 5 stars,152 ratings
Raspberry SC15184 Pi 4 Model B 2019 Quad Core 64 Bit WiFi Bluetooth (2GB),$51.58,4.7 out of 5 stars,"18,129 ratings"
Raspberry SC15184 Pi 4 Model B 2019 Quad Core 64 Bit WiFi Bluetooth (2GB),$51.58,4.7 out of 5 stars,"18,129 ratings"
"Raspberry Pi Zero 2 W (with Quad-core CPU,Bluetooth 4.2,BLE,onboard Antenna,etc.)",$20.79,4.6 out of 5 stars,152 ratings
Raspberry SC15184 Pi 4 Model B 2019 Quad Core 64 Bit WiFi Bluetooth (2GB),$51.58,4.7 out of 5 stars,"18,129 ratings"
"Raspberry Pi Zero 2 W (with Quad-core CPU,Bluetooth 4.2,BLE,onboard Antenna,etc.)",$20.79,4.6 out of 5 stars,152 ratings
Raspberry SC15184 Pi 4 Model B 2019 Quad Core 64 Bit WiFi Bluetooth (2GB),$51.58,4.7 out of 5 stars,"18,129 ratings"
